benchmark,onnx_path,vnnlib_path,total_time,result,solver_time
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_0_eps_0.00784_n1.vnnlib,0.675500000,SAT,0.675500000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_1_eps_0.00784_n1.vnnlib,0.972500000,UNSAT,0.972500000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_2_eps_0.00784_n1.vnnlib,5.944700000,UNSAT,5.944700000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_3_eps_0.00784_n1.vnnlib,0.786500000,UNSAT,0.786500000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_4_eps_0.00784_n1.vnnlib,10.077100000,UNSAT,10.077100000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_5_eps_0.00784_n1.vnnlib,1.021000000,UNSAT,1.021000000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_6_eps_0.00784_n1.vnnlib,0.794300000,UNSAT,0.794300000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_8_eps_0.00784_n1.vnnlib,300.554000000,unknown,300.554000000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_9_eps_0.00784_n1.vnnlib,5.758600000,UNSAT,5.758600000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_10_eps_0.00784_n1.vnnlib,0.802500000,UNSAT,0.802500000
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_11_eps_0.00784_n1.vnnlib,0.801500000,UNSAT,0.801500000
