benchmark,onnx_path,vnnlib_path,total_time,result,solver_time
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01189_label_0_eps_0.00392.vnnlib,0.845300000,UNSAT,0.845300000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01189_label_0_eps_0.00784.vnnlib,0.310000000,UNSAT,0.310000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01189_label_0_eps_0.01569.vnnlib,0.027600000,SAT,0.027600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01189_label_0_eps_0.03137.vnnlib,0.026400000,SAT,0.026400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01189_label_0_eps_0.06275.vnnlib,0.026600000,SAT,0.026600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00000_label_3_eps_0.00392.vnnlib,0.019500000,SAT,0.019500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00000_label_3_eps_0.00784.vnnlib,0.019000000,SAT,0.019000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00000_label_3_eps_0.01569.vnnlib,0.019600000,SAT,0.019600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00000_label_3_eps_0.03137.vnnlib,0.019600000,SAT,0.019600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00000_label_3_eps_0.06275.vnnlib,0.019100000,SAT,0.019100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00400_label_9_eps_0.00392.vnnlib,0.019600000,SAT,0.019600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00400_label_9_eps_0.00784.vnnlib,0.123000000,SAT,0.123000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00400_label_9_eps_0.01569.vnnlib,0.021000000,SAT,0.021000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00400_label_9_eps_0.03137.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00400_label_9_eps_0.06275.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00800_label_7_eps_0.00392.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00800_label_7_eps_0.00784.vnnlib,0.018400000,SAT,0.018400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00800_label_7_eps_0.01569.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00800_label_7_eps_0.03137.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/00800_label_7_eps_0.06275.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01200_label_8_eps_0.00392.vnnlib,0.019900000,SAT,0.019900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01200_label_8_eps_0.00784.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01200_label_8_eps_0.01569.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01200_label_8_eps_0.03137.vnnlib,0.124500000,SAT,0.124500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01200_label_8_eps_0.06275.vnnlib,0.020200000,SAT,0.020200000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01600_label_8_eps_0.00392.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01600_label_8_eps_0.00784.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01600_label_8_eps_0.01569.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01600_label_8_eps_0.03137.vnnlib,0.018100000,SAT,0.018100000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/01600_label_8_eps_0.06275.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02000_label_1_eps_0.00392.vnnlib,0.019600000,SAT,0.019600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02000_label_1_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02000_label_1_eps_0.01569.vnnlib,0.018800000,SAT,0.018800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02000_label_1_eps_0.03137.vnnlib,0.019000000,SAT,0.019000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02000_label_1_eps_0.06275.vnnlib,0.018300000,SAT,0.018300000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02400_label_0_eps_0.00392.vnnlib,0.407600000,UNSAT,0.407600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02400_label_0_eps_0.00784.vnnlib,0.337800000,UNSAT,0.337800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02400_label_0_eps_0.01569.vnnlib,0.280200000,UNSAT,0.280200000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02400_label_0_eps_0.03137.vnnlib,0.288000000,UNSAT,0.288000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02400_label_0_eps_0.06275.vnnlib,120.528700000,UNKNOWN,120.528700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02800_label_4_eps_0.00392.vnnlib,0.020800000,SAT,0.020800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02800_label_4_eps_0.00784.vnnlib,0.019400000,SAT,0.019400000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02800_label_4_eps_0.01569.vnnlib,0.018600000,SAT,0.018600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02800_label_4_eps_0.03137.vnnlib,0.019000000,SAT,0.019000000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/02800_label_4_eps_0.06275.vnnlib,0.023800000,SAT,0.023800000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.00392.vnnlib,0.018700000,SAT,0.018700000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.00784.vnnlib,0.018500000,SAT,0.018500000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.01569.vnnlib,0.018900000,SAT,0.018900000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.03137.vnnlib,0.018600000,SAT,0.018600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03200_label_5_eps_0.06275.vnnlib,0.018600000,SAT,0.018600000
cifar2020,./benchmarks/models/eran/cifar_conv_small_pgd.pth,./benchmarks/Cifar2020/specs/03600_label_4_eps_0.00392.vnnlib,0.018800000,SAT,0.018800000
