benchmark,onnx_path,vnnlib_path,total_time,result,solver_time
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_0_eps_0.008.vnnlib,30.071546344,timeout,333.373325666
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_1_eps_0.008.vnnlib,30.074046934,timeout,333.022782205
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_2_eps_0.008.vnnlib,9.455838017,UNSAT,8.1145557
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_3_eps_0.008.vnnlib,8.213517163,UNSAT,8.118677455
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_4_eps_0.008.vnnlib,8.157823643,UNSAT,8.082814236
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_5_eps_0.008.vnnlib,8.203716175,UNSAT,8.150486854
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_6_eps_0.008.vnnlib,30.088014884,timeout,334.147375066
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_7_eps_0.008.vnnlib,8.249172438,UNSAT,8.108215539
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_8_eps_0.008.vnnlib,8.174331406,UNSAT,8.09766386
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_9_eps_0.008.vnnlib,8.273065458,UNSAT,8.158305928
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_10_eps_0.008.vnnlib,30.070678472,UNSAT,78.46602935
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_11_eps_0.008.vnnlib,8.293653722,UNSAT,8.179660104
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_12_eps_0.008.vnnlib,8.233322905,UNSAT,8.173311
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_13_eps_0.008.vnnlib,8.246230089,UNSAT,8.144670012
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_14_eps_0.008.vnnlib,30.071350581,UNSAT,50.524586049
cifar10_resnet,./benchmarks/cifar10_resnet/onnx/resnet_2b.onnx,./benchmarks/cifar10_resnet/vnnlib_properties_pgd_filtered/resnet2b_pgd_filtered/prop_15_eps_0.008.vnnlib,8.21795173,UNSAT,8.155008506
